DATE,Total Sales ,New Orders
1/1/00,18.635,43668
2/1/00,19.401,39808
3/1/00,18.343,40749
4/1/00,17.939,40644
5/1/00,17.943,38730
6/1/00,17.596,39915
7/1/00,17.316,38556
8/1/00,17.531,35658
9/1/00,18.654,39880
10/1/00,17.514,37481
11/1/00,16.634,35816
12/1/00,16.222,35999
1/1/01,17.652,33062
2/1/01,17.826,35373
3/1/01,17.248,36913
4/1/01,16.872,35420
5/1/01,16.876,36809
6/1/01,17.464,36055
7/1/01,16.463,35454
8/1/01,16.348,35723
9/1/01,16.365,33450
10/1/01,22.055,34044
11/1/01,18.031,36193
12/1/01,16.465,36656
1/1/02,16.523,37703
2/1/02,17.304,36657
3/1/02,17.107,36008
4/1/02,17.668,41014
5/1/02,16.197,40235
6/1/02,16.953,39321
7/1/02,18.147,40900
8/1/02,18.449,41459
9/1/02,16.665,39419
10/1/02,16.259,40887
11/1/02,16.52,40238
12/1/02,17.866,36652
1/1/03,16.708,41356
2/1/03,16.114,40985
3/1/03,16.467,40556
4/1/03,16.751,39106
5/1/03,16.47,39977
6/1/03,17.013,40276
7/1/03,17.117,42271
8/1/03,18.262,39586
9/1/03,17.286,43200
10/1/03,16.489,42676
11/1/03,17.563,42229
12/1/03,17.357,41514
1/1/04,16.695,40988
2/1/04,17.032,42565
3/1/04,17.247,43759
4/1/04,16.898,41723
5/1/04,18.186,40487
6/1/04,16.173,40913
7/1/04,17.309,37495
8/1/04,17.157,40911
9/1/04,17.875,40793
10/1/04,17.514,39620
11/1/04,17.362,40812
12/1/04,18.102,41773
1/1/05,16.889,41848
2/1/05,16.886,41581
3/1/05,17.413,38411
4/1/05,17.756,42416
5/1/05,17.414,41859
6/1/05,18.482,41639
7/1/05,21.135,40318
8/1/05,17.418,42418
9/1/05,16.927,44769
10/1/05,15.336,43951
11/1/05,16.524,40949
12/1/05,17.174,42780
1/1/06,18.081,42971
2/1/06,17.071,41743
3/1/06,16.96,43315
4/1/06,17.127,41670
5/1/06,16.729,43413
6/1/06,16.9,43262
7/1/06,17.662,38283
8/1/06,16.458,41533
9/1/06,16.974,39899
10/1/06,16.865,40576
11/1/06,16.657,40629
12/1/06,17.107,44017
1/1/07,16.896,40463
2/1/07,17.169,41257
