Model,Horizon,RMSE,MAE,MAPE
"ARIMA(3,1,1)",1,0.09701832425999513,0.09701832425999513,0.5467053097035678
"ARIMA(3,1,1)",3,0.4501803100597628,0.35302098145088934,2.0466005413885235
"ARIMA(3,1,1)",6,0.6189680487019041,0.5201150342272989,3.044020982228798
"ARIMA(3,1,1)",12,3.837216361218779,2.6884641740911217,22.88125057681012
"SARIMA(1,1,1)(2,1,1,12)",1,0.3376988750298544,0.3376988750298544,1.902957708947675
"SARIMA(1,1,1)(2,1,1,12)",3,0.2867997413056462,0.2776218440954696,1.590372869354717
"SARIMA(1,1,1)(2,1,1,12)",6,0.3017100712647018,0.2723289626985916,1.5828554908502597
"SARIMA(1,1,1)(2,1,1,12)",12,3.5628915656652023,2.4025789767083587,20.730164273971372
VAR(8),1,0.08748308180017617,0.08748308180017617,0.4929735253024692
VAR(8),3,0.30005373270104285,0.26710612727925803,1.5402903670028005
VAR(8),6,0.3659869290765174,0.33269448107807875,1.9393774634541505
VAR(8),12,3.542644066675982,2.3660675727124527,20.5172528375707
XGBoost,1,0.0003412780761706813,0.0003412780761706813,0.0019397412536698946
XGBoost,3,0.08798185393158875,0.05822144063313672,0.33363168773577945
XGBoost,6,2.527752519877915,1.5107723108927402,14.992427452536377
XGBoost,12,2.0484640606556335,1.3283382848103837,11.54413420986095
LightGBM,1,0.14824106615523291,0.14824106615523291,0.842566023389979
LightGBM,3,0.09674747363115999,0.07875777324380095,0.45424655895202126
LightGBM,6,1.334279185835694,0.7360560025528065,7.578432370402148
LightGBM,12,1.3786289825132603,0.9679517828647176,7.935089058814642
